Serial,Query,Response,Time,ConversationId,CharLen
1,Who is regarded as the chief architect of the Indian Constitution?,"Dr. Bhimrao Ramji Ambedkar is regarded as the chief architect of the Indian Constitution. He served as the Chairman of the Drafting Committee and played a pivotal role in framing the Constitution, ensuring it reflected principles of justice, liberty, equality, and fraternity for all citizens. His leadership and vision were instrumental in embedding provisions aimed at eradicating caste discrimination and promoting social justice, earning him the title of ""Father of the Indian Constitution"" and ""chief architect of the Indian Constitution"" [1]​[2].

[1]: https://www.jagranjosh.com/general-knowledge/who-is-the-father-of-indian-constitution-1736419703-1 ""Who is Known as the Father of the Indian Constitution? Check Here!""
[2]: https://www.theindianpanorama.news/featured/dr-br-ambedkar-the-chief-architect-of-the-indian-constitution/ ""Dr BR Ambedkar: The Chief Architect of the Indian Constitution""",9.521918699996604,db8bca9c-9184-45ae-9294-edd5cb9d95d3,903
2,Who was the Chairman of the Drafting Committee of the Indian Constitution?,"Dr. B.R. Ambedkar was the Chairman of the Drafting Committee of the Indian Constitution. He played a pivotal role in shaping the Constitution and is often referred to as the ""Architect of the Indian Constitution"" due to his significant contributions. The Drafting Committee was constituted on August 29, 1947, and Dr. B.R. Ambedkar was elected as its Chairman, overseeing the preparation and finalization of the Constitution's draft [1]​[2].

[1]: https://www.studyiq.com/articles/drafting-committee/ ""Drafting Committee of Indian Constitution: Members, Role, Final Draft ...""
[2]: https://factly.in/dr-b-r-ambedkar-is-the-chairman-of-the-drafting-committee-whereas-b-n-rau-is-the-constitutional-advisor-of-the-constituent-assembly/ ""Dr. B.R. Ambedkar was the chairman of the drafting committee ... - FACTLY""",7.957719899997755,db8bca9c-9184-45ae-9294-edd5cb9d95d3,808
3,When was the Constitution of India adopted by the Constituent Assembly?,"The Constitution of India was adopted by the Constituent Assembly on November 26, 1949. This date is commemorated annually as Constitution Day or 'Samvidhan Divas' in India [1]​[2]​[3].

[1]: https://www.pib.gov.in/factsheetdetails.aspx?id=148584&reg=3&lang=1 ""Constitution of India (Interesting Facts)""
[2]: https://en.wikipedia.org/wiki/Constitution_of_India ""Constitution of India - Wikipedia""
[3]: https://vajiramandravi.com/upsc-exam/constituent-assembly-making-of-the-indian-constitution/ ""Constituent Assembly, Historical Background, Composition""",7.556387099997664,db8bca9c-9184-45ae-9294-edd5cb9d95d3,553
4,When did the Constitution of India come into effect?,"The Constitution of India came into effect on January 26, 1950. This date is celebrated annually in India as Republic Day to mark the establishment of the country as a democratic republic and the enforcement of its supreme legal document [1]​[2]​[3].

[1]: https://www.britannica.com/topic/Constitution-of-India ""Constitution of India | Preamble, Articles, History, Ambedkar ...""
[2]: https://en.wikipedia.org/wiki/Constitution_of_India ""Constitution of India - Wikipedia""
[3]: https://pib.gov.in/factsheetdetails.aspx?id=148584 ""Constitution of India (Interesting Facts)""",8.900334799996926,db8bca9c-9184-45ae-9294-edd5cb9d95d3,572
5,Which Act was replaced by the Constitution of India as the country’s fundamental governing document?,"The Constitution of India replaced the Government of India Act, 1935 as the country’s fundamental governing document. The Government of India Act, 1935 provided the detailed framework for governance and provincial autonomy in British India, and many of its provisions were incorporated into the Constitution. When the Constitution came into force on January 26, 1950, it repealed the Government of India Act, 1935, making it the principal governing document that was replaced [1]​[2]​[3].

[1]: https://prepp.in/question/the-constitution-of-india-came-into-force-on-26-ja-645d3ac64206be03cfa1106a ""The Constitution of India came into force on 26 January 1950. Which act ...""
[2]: https://gkgigs.com/quiz-on-constitution-of-india/ ""Quiz On Constitution Of India (Important Objective Questions 2025) - GkGigs""
[3]: https://en.wikipedia.org/wiki/Constitution_of_India ""Constitution of India - Wikipedia""",8.481244299997343,db8bca9c-9184-45ae-9294-edd5cb9d95d3,900
6,What is the original title of the Indian Constitution in Sanskrit?,"The original title of the Indian Constitution in Sanskrit is ""Bharatasya Samvidhanam,"" which translates to ""Constitution of India"" in Sanskrit. This translation was published by Lakshman Shastri Joshi and Mangaldev Shastri in 1985 and is officially available through the Legislative Department, Ministry of Law and Justice, Government of India [1]​[2].

[1]: https://archive.org/details/bharatasya-samvidhanam-sanskrit-translation-of-constitution-of-india ""Bharatasya Samvidhanam, Sanskrit Translation Of Constitution Of India ...""
[2]: https://legislative.gov.in/document-category/constitution-of-india-in-sanskrit/ ""Constitution of India in Sanskrit - Legislative Department""",7.148120099998778,db8bca9c-9184-45ae-9294-edd5cb9d95d3,677
7,How many branches are in the Indian Constitution?,"The Indian Constitution is organized into 25 Parts, which serve as the backbone for its provisions and themes such as fundamental rights, directive principles, governance structure, and emergency provisions. These Parts are sometimes referred to as branches or sections, and their number has increased from the original 22 to 25 due to various amendments, including the addition of Parts IXA (Municipalities), IXB (Co-operative Societies), and XIVA (Tribunals) [1]​[2]​[3].

[1]: https://vajiramandravi.com/current-affairs/parts-of-indian-constitution/ ""Parts of Indian Constitution, Check All 25 Parts Subject, Key Details""
[2]: https://www.studyiq.com/articles/parts-of-indian-constitution/ ""Parts of Indian Constitution, Check All 25 Parts here""
[3]: https://prepp.in/question/how-many-parts-does-the-indian-constitution-contai-6460a5673f5841840c60ea49 ""How many parts does the Indian Constitution contain? - Prepp""",7.767782399998396,db8bca9c-9184-45ae-9294-edd5cb9d95d3,918
8,Name the branches of the Indian Constitution.,"The Indian Constitution is divided into 25 Parts, each covering specific subject areas. Here are the names of the Parts:

1. **Part I**: The Union and its Territory
2. **Part II**: Citizenship
3. **Part III**: Fundamental Rights
4. **Part IV**: Directive Principles of State Policy
5. **Part IVA**: Fundamental Duties
6. **Part V**: The Union
7. **Part VI**: The States
8. **Part VII**: The States in Part B of the First Schedule (repealed)
9. **Part VIII**: The Union Territories
10. **Part IX**: The Panchayats
11. **Part IXA**: The Municipalities
12. **Part IXB**: The Co-operative Societies
13. **Part X**: The Scheduled and Tribal Areas
14. **Part XI**: Relations between the Union and the States
15. **Part XII**: Finance, Property, Contracts, and Suits
16. **Part XIII**: Trade, Commerce, and Intercourse within the Territory of India
17. **Part XIV**: Services under the Union and the States
18. **Part XIVA**: Tribunals
19. **Part XV**: Elections
20. **Part XVI**: Special Provisions Relating to Certain Classes
21. **Part XVII**: Official Language
22. **Part XVIII**: Emergency Provisions
23. **Part XIX**: Miscellaneous
24. **Part XX**: Amendment of the Constitution
25. **Part XXI**: Temporary, Transitional, and Special Provisions
26. **Part XXII**: Short Title, Commencement, Authoritative Text in Hindi, and Repeals

These Parts collectively form the framework for governance, rights, duties, and various other aspects of the Indian legal and political system.",10.613866400002735,db8bca9c-9184-45ae-9294-edd5cb9d95d3,1475
9,How many chambers are there in the Indian Constitution?,"The Indian Constitution establishes a bicameral legislature, which means there are two chambers:

- **Rajya Sabha** (Council of States)
- **Lok Sabha** (House of the People)

These two chambers together form the Parliament of India.",6.961038000001281,db8bca9c-9184-45ae-9294-edd5cb9d95d3,232
10,"Under Judiciary, how many courts are there?","The Indian Judiciary is structured into three main levels of courts:

1. **Supreme Court**: The highest court in India, with a strength of 34 judges.
2. **High Courts**: There are multiple High Courts across different states, with a total strength of 1,079 judges.
3. **Subordinate Courts**: These include District Courts and other lower courts, with a total strength of 22,677 judges.

In total, there are 23,790 judges serving across all levels of courts in India, which includes the Supreme Court, High Courts, and Subordinate Courts [1].

[1]: https://en.wikipedia.org/wiki/Judiciary_of_India ""Judiciary of India - Wikipedia""",8.177966200004448,db8bca9c-9184-45ae-9294-edd5cb9d95d3,629
