Serial,Query,Response,Time,ConversationId,CharLen
1,Who is regarded as the chief architect of the Indian Constitution?,"Dr. Bhimrao Ramji Ambedkar is regarded as the chief architect of the Indian Constitution. He served as the Chairman of the Drafting Committee and played a pivotal role in shaping the Constitution, ensuring it promoted equality, justice, and rights for all citizens, especially marginalized groups. His vision and expertise were instrumental in embedding principles of justice, liberty, equality, and fraternity, as well as provisions aimed at eradicating caste discrimination and promoting social justice [1]​[2]​[3].

[1]: https://www.theindianpanorama.news/featured/dr-br-ambedkar-the-chief-architect-of-the-indian-constitution/ ""Dr BR Ambedkar: The Chief Architect of the Indian Constitution""
[2]: https://www.iloveinfo.net/2025/09/who-is-chief-architect-of-indian.html ""Who Is the Chief Architect of the Indian Constitution?""
[3]: https://www.jagranjosh.com/general-knowledge/who-is-the-father-of-indian-constitution-1736419703-1 ""Who is Known as the Father of the Indian Constitution? Check Here!""",9.132448999996996,d9e15c63-befd-44f9-b4a1-8b45bf686a51,1002
2,Who was the Chairman of the Drafting Committee of the Indian Constitution?,"Dr. B.R. Ambedkar was the Chairman of the Drafting Committee of the Indian Constitution. He played a pivotal role in framing the Constitution and is widely recognized as its chief architect [1]​[2]​[3].

[1]: https://www.studyiq.com/articles/drafting-committee/ ""Drafting Committee of Indian Constitution: Members, Role, Final Draft ...""
[2]: https://en.wikipedia.org/wiki/Constituent_Assembly_of_India ""Constituent Assembly of India - Wikipedia""
[3]: https://factly.in/dr-b-r-ambedkar-is-the-chairman-of-the-drafting-committee-whereas-b-n-rau-is-the-constitutional-advisor-of-the-constituent-assembly/ ""Dr. B.R. Ambedkar was the chairman of the drafting committee ... - FACTLY""",6.514041599999473,d9e15c63-befd-44f9-b4a1-8b45bf686a51,678
3,When was the Constitution of India adopted by the Constituent Assembly?,"The Constitution of India was adopted by the Constituent Assembly on November 26, 1949.",6.94395340000483,d9e15c63-befd-44f9-b4a1-8b45bf686a51,87
4,When did the Constitution of India come into effect?,"The Constitution of India came into effect on January 26, 1950. This date is celebrated annually in India as Republic Day, marking the establishment of India as a democratic republic and the adoption of its supreme legal document [1]​[2]​[3].

[1]: https://www.britannica.com/topic/Constitution-of-India ""Constitution of India | Preamble, Articles, History, Ambedkar ...""
[2]: https://en.wikipedia.org/wiki/Constitution_of_India ""Constitution of India - Wikipedia""
[3]: https://pib.gov.in/factsheetdetails.aspx?id=148584 ""Constitution of India (Interesting Facts)""",7.43181669999467,d9e15c63-befd-44f9-b4a1-8b45bf686a51,564
5,Which Act was replaced by the Constitution of India as the country’s fundamental governing document?,"The Constitution of India replaced the Government of India Act, 1935 as the country’s fundamental governing document when it came into force on January 26, 1950. This transition marked the beginning of India as a sovereign, democratic republic and established the Constitution as the supreme law of the land [1]​[2]​[3].

[1]: https://en.wikipedia.org/wiki/Constitution_of_India ""Constitution of India - Wikipedia""
[2]: https://prepp.in/question/the-constitution-of-india-came-into-force-on-26-ja-645d3ac64206be03cfa1106a ""The Constitution of India came into force on 26 January 1950. Which act ...""
[3]: https://www.vedantu.com/question-answer/the-constitution-cannot-be-amended-because-it-is-class-11-social-science-cbse-5fc6492c7e5ae57d19fd056b ""The Constitution cannot be amended because it is the supreme ... - Vedantu""",8.104379299998982,d9e15c63-befd-44f9-b4a1-8b45bf686a51,824
6,What is the original title of the Indian Constitution in Sanskrit?,"The original title of the Indian Constitution in Sanskrit is **Bharatasya Samvidhanam** [1].

[1]: https://archive.org/details/bharatasya-samvidhanam-sanskrit-translation-of-constitution-of-india ""Bharatasya Samvidhanam, Sanskrit Translation Of Constitution Of India ...""",6.251636300003156,d9e15c63-befd-44f9-b4a1-8b45bf686a51,271
7,How many branches are in the Indian Constitution?,"The Indian Constitution is organized into 25 Parts, which serve as the backbone for its provisions and themes. These parts cover areas such as fundamental rights, directive principles, governance structure, emergency provisions, and more. Originally, the Constitution had 22 Parts, but amendments have expanded it to 25 Parts to address evolving governance needs. Notable additions include Part IXA (Municipalities), Part IXB (Co-operative Societies), and Part XIVA (Tribunals) [1]​[2]​[3].

[1]: https://vajiramandravi.com/current-affairs/parts-of-indian-constitution/ ""Parts of Indian Constitution, Check All 25 Parts Subject, Key Details""
[2]: https://www.studyiq.com/articles/parts-of-indian-constitution/ ""Parts of Indian Constitution, Check All 25 Parts here""
[3]: https://lawbhoomi.com/25-parts-of-the-indian-constitution/ ""25 Parts of the Indian Constitution - lawbhoomi.com""",7.593164700003399,d9e15c63-befd-44f9-b4a1-8b45bf686a51,883
8,Name the branches of the Indian Constitution.,"The Indian Constitution is divided into 25 distinct Parts, each addressing a specific aspect of governance, rights, and administration. Here is a concise list of the names and subjects of these Parts:

- **Part I:** The Union and Its Territory (Articles 1 to 4)
- **Part II:** Citizenship (Articles 5 to 11)
- **Part III:** Fundamental Rights (Articles 12 to 35)
- **Part IV:** Directive Principles of State Policy (Articles 36 to 51)
- **Part IVA:** Fundamental Duties (Article 51A)
- **Part V:** The Union (Articles 52 to 151)
- **Part VI:** The States (Articles 152 to 237)
- **Part VII:** [Repealed]
- **Part VIII:** The Union Territories (Articles 239 to 242)
- **Part IX:** The Panchayats (Articles 243 to 243O)
- **Part IXA:** The Municipalities (Articles 243P to 243ZG)
- **Part IXB:** Co-operative Societies (Articles 243ZH to 243ZT)
- **Part X:** The Scheduled and Tribal Areas (Articles 244 to 244A)
- **Part XI:** Relations between the Union and the States (Articles 245 to 263)
- **Part XII:** Finance, Property, Contracts, and Suits (Articles 264 to 300A)
- **Part XIII:** Trade, Commerce and Intercourse within India (Articles 301 to 307)
- **Part XIV:** Services under the Union and the States (Articles 308 to 323)
- **Part XIVA:** Tribunals (Articles 323A and 323B)
- **Part XV:** Elections (Articles 324 to 329A)
- **Part XVI:** Special Provisions relating to Certain Classes (Articles 330 to 342)
- **Part XVII:** Official Language (Articles 343 to 351)
- **Part XVIII:** Emergency Provisions (Articles 352 to 360)
- **Part XIX:** Miscellaneous (Articles 361 to 367)
- **Part XX:** Amendment of the Constitution (Article 368)
- **Part XXI:** Temporary, Transitional and Special Provisions (Articles 369 to 392)
- **Part XXII:** Short Title, Commencement, Authoritative Text and Repeals (Articles 393 to 395)

These Parts collectively form the backbone of the Indian Constitution, organizing its provisions into broad themes such as rights, governance structure, and emergency provisions [1]​[2]​[3].

[1]: https://lawbhoomi.com/25-parts-of-the-indian-constitution/ ""25 Parts of the Indian Constitution - lawbhoomi.com""
[2]: https://vajiramandravi.com/current-affairs/parts-of-indian-constitution/ ""Parts of Indian Constitution, Check All 25 Parts Subject, Key Details""
[3]: https://www.studyiq.com/articles/parts-of-indian-constitution/ ""Parts of Indian Constitution, Check All 25 Parts here""",13.905877700002748,d9e15c63-befd-44f9-b4a1-8b45bf686a51,2412
9,How many chambers are there in the Indian Constitution?,"The Indian Constitution establishes a parliamentary system with **two chambers**:
- **Rajya Sabha** (Council of States)
- **Lok Sabha** (House of the People)

These two chambers together form the Parliament of India, which is a bicameral legislature [1].

[1]: https://en.wikipedia.org/wiki/Constitution_of_India ""Constitution of India - Wikipedia""",5.979690200001642,d9e15c63-befd-44f9-b4a1-8b45bf686a51,348
10,"Under Judiciary, how many courts are there?","The Indian Judiciary is structured into several levels of courts:

1. **Supreme Court**: The highest court in India, serving as the final court of appeal for all civil and criminal cases.
2. **High Courts**: These are the top judicial courts in individual states, each led by a state Chief Justice.
3. **District Courts and Subordinate Courts**: Managed by the High Courts, these include District and Session Courts within their jurisdictions.
4. **Executive/Revenue Courts**: Managed by state governments through district magistrates or other executive magistrates, though not formally part of the judiciary.

In terms of the number of judges, which is indicative of the number of courts:
- **Supreme Court**: 34 judges
- **High Courts**: 1,079 judges
- **Subordinate Courts**: 22,677 judges

This structure reflects a three-level judiciary with subsidiary parts, ensuring a comprehensive legal system across India [1].

[1]: https://en.wikipedia.org/wiki/Judiciary_of_India ""Judiciary of India - Wikipedia""",9.026783400004206,d9e15c63-befd-44f9-b4a1-8b45bf686a51,1008
